caseid,task,arrive:timestamp,start:timestamp,time:timestamp,role,open_cases,st_tsk_wip,queue,event_nr,hour,month,timesincecasestart,timesincelastevent,timesincemidnight,weekday,attrib_trace,label
81051,Traer informacion estudiante - banner,2016-02-01 06:23:52,2016-02-01 06:23:52,2016-02-01 06:23:52,8997,43,0.0,0,1,6,2,0.0,0.0,383.8666666666667,1,{'lifecycle:transition': 'complete'},deviant
81051,Radicar Solicitud Homologacion,2016-02-01 06:23:52,2016-02-01 07:24:36,2016-02-01 07:24:36,8997,43,0.10231854838709678,0,2,7,2,60.733333333333334,60.733333333333334,444.6,1,{'lifecycle:transition': 'complete'},deviant
81051,Validar solicitud,2016-02-01 07:24:36,2016-02-01 08:47:29,2016-02-01 08:51:48,387,43,0.24168346774193547,0,3,8,2,143.61666666666667,82.88333333333334,527.4833333333333,1,{'lifecycle:transition': 'complete'},deviant
81051,Homologacion por grupo de cursos,2016-02-01 08:51:48,2016-02-01 10:19:05,2016-02-01 10:37:39,1007,43,0.5632560483870968,0,4,10,2,235.21666666666667,91.6,619.0833333333334,1,{'lifecycle:transition': 'complete'},deviant
81102,Traer informacion estudiante - banner,2016-02-01 11:53:46,2016-02-01 11:53:46,2016-02-01 11:53:46,6426,43,0.0,0,1,11,2,329.9,329.9,713.7666666666667,1,{'lifecycle:transition': 'complete'},deviant
81102,Radicar Solicitud Homologacion,2016-02-01 11:53:46,2016-02-01 12:54:30,2016-02-01 13:10:36,6426,43,0.10231854838709678,0,2,12,2,390.6333333333333,60.733333333333334,774.5,1,{'lifecycle:transition': 'complete'},deviant
81102,Validar solicitud,2016-02-01 13:10:36,2016-02-01 14:33:29,2016-02-01 14:35:28,22475,43,0.24168346774193547,0,3,14,2,489.6166666666667,98.98333333333333,873.4833333333333,1,{'lifecycle:transition': 'complete'},deviant
81102,Homologacion por grupo de cursos,2016-02-01 14:35:28,2016-02-01 16:02:45,2016-02-01 16:52:04,1343,43,0.5632560483870968,0,4,16,2,578.8833333333333,89.26666666666667,962.75,1,{'lifecycle:transition': 'complete'},deviant
81201,Traer informacion estudiante - banner,2016-02-02 00:39:32,2016-02-02 00:39:32,2016-02-02 00:39:32,8916,43,0.0,0,1,0,2,1095.6666666666667,1095.6666666666667,39.53333333333333,2,{'lifecycle:transition': 'complete'},deviant
81201,Radicar Solicitud Homologacion,2016-02-02 00:39:32,2016-02-02 01:35:29,2016-02-02 01:51:29,8916,43,0.10231854838709678,0,2,1,2,1151.6166666666666,55.95,95.48333333333333,2,{'lifecycle:transition': 'complete'},deviant
81301,Traer informacion estudiante - banner,2016-02-02 03:30:08,2016-02-02 03:30:08,2016-02-02 03:30:08,4867,44,0.0,0,1,3,2,1266.2666666666667,1266.2666666666667,210.13333333333333,2,{'lifecycle:transition': 'complete'},deviant
81301,Radicar Solicitud Homologacion,2016-02-02 03:30:08,2016-02-02 04:25:39,2016-02-02 04:25:39,4867,44,0.10231854838709678,0,2,4,2,1321.7833333333333,55.516666666666666,265.65,2,{'lifecycle:transition': 'complete'},deviant
81301,Validar solicitud,2016-02-02 04:25:39,2016-02-02 20:14:46,2016-02-02 20:26:42,22475,44,0.24168346774193547,0,3,20,2,2270.9,949.1166666666667,1214.7666666666667,2,{'lifecycle:transition': 'complete'},deviant
81851,Traer informacion estudiante - banner,2016-02-03 07:24:22,2016-02-03 07:24:22,2016-02-03 07:24:22,955,45,0.0,0,1,7,2,2940.5,2940.5,444.3666666666667,3,{'lifecycle:transition': 'complete'},deviant
81851,Radicar Solicitud Homologacion,2016-02-03 07:24:22,2016-02-03 08:58:58,2016-02-03 09:04:59,955,45,0.10231854838709678,0,2,8,2,3035.1,94.6,538.9666666666667,3,{'lifecycle:transition': 'complete'},deviant
