caseid,task,arrive:timestamp,start:timestamp,time:timestamp,role,open_cases,st_tsk_wip,queue,event_nr,hour,month,timesincecasestart,timesincelastevent,timesincemidnight,weekday,attrib_trace,label
1,Create Purchase Requisition,2011-01-01 02:25:37,2011-01-01 02:25:37,2011-01-01 03:02:37,Kim Passa,41,0.1258027956176804,0,1,2,1,145.61666666666667,145.61666666666667,145.61666666666667,6,{'lifecycle:transition': 'complete'},deviant
2,Create Purchase Requisition,2011-01-01 03:55:13,2011-01-01 03:55:13,2011-01-01 04:08:13,Immanuel Karagianni,42,0.1258027956176804,0,1,3,1,235.21666666666667,235.21666666666667,235.21666666666667,6,{'lifecycle:transition': 'complete'},regular
1,Create Request for Quotation,2011-01-01 03:02:37,2011-01-01 06:29:36,2011-01-01 06:37:36,Kim Passa,41,0.04731771817151492,0,2,6,1,389.6,243.98333333333332,389.6,6,{'lifecycle:transition': 'complete'},deviant
2,Create Request for Quotation,2011-01-01 04:08:13,2011-01-01 07:41:56,2011-01-01 07:51:56,Alberto Duport,42,0.04731771817151492,0,2,7,1,461.93333333333334,226.71666666666667,461.93333333333334,6,{'lifecycle:transition': 'complete'},regular
3,Create Purchase Requisition,2011-01-01 07:50:26,2011-01-01 07:50:26,2011-01-01 08:30:26,Kim Passa,43,0.1258027956176804,0,1,7,1,470.43333333333334,470.43333333333334,470.43333333333334,6,{'lifecycle:transition': 'complete'},deviant
4,Create Purchase Requisition,2011-01-01 08:33:28,2011-01-01 08:33:28,2011-01-01 08:54:28,Fjodor Kowalski,44,0.1258027956176804,0,1,8,1,513.4666666666667,513.4666666666667,513.4666666666667,6,{'lifecycle:transition': 'complete'},deviant
5,Create Purchase Requisition,2011-01-01 09:59:28,2011-01-01 09:59:28,2011-01-01 10:45:28,Esmana Liubiata,45,0.1258027956176804,0,1,9,1,599.4666666666667,599.4666666666667,599.4666666666667,6,{'lifecycle:transition': 'complete'},deviant
0_CF,Create Purchase Requisition,2011-01-01 10:16:24,2011-01-01 10:45:28,2011-01-01 10:53:54,Esmana Liubiata,46,0.1258027956176804,0,1,10,1,616.4,616.4,616.4,6,{'lifecycle:transition': 'complete'},deviant
2_CF,Create Purchase Requisition,2011-01-01 13:38:02,2011-01-01 13:38:02,2011-01-01 13:46:27,Esmana Liubiata,47,0.1258027956176804,0,1,13,1,818.0333333333333,818.0333333333333,818.0333333333333,6,{'lifecycle:transition': 'complete'},deviant
0_CF,Create Request for Quotation,2011-01-01 10:53:54,2011-01-01 14:40:45,2011-01-01 14:58:42,Immanuel Karagianni,46,0.04731771817151492,0,2,14,1,880.75,264.35,880.75,6,{'lifecycle:transition': 'complete'},deviant
3_CF,Create Purchase Requisition,2011-01-01 15:48:05,2011-01-01 15:48:05,2011-01-01 15:56:31,Anne Olwada,48,0.1258027956176804,0,1,15,1,948.0833333333334,948.0833333333334,948.0833333333334,6,{'lifecycle:transition': 'complete'},deviant
8_CF,Create Purchase Requisition,2011-01-01 16:04:56,2011-01-01 16:04:56,2011-01-01 16:13:22,Esmana Liubiata,49,0.1258027956176804,0,1,16,1,964.9333333333333,964.9333333333333,964.9333333333333,6,{'lifecycle:transition': 'complete'},deviant
9_CF,Create Purchase Requisition,2011-01-01 17:21:44,2011-01-01 17:21:44,2011-01-01 17:30:11,Esmana Liubiata,50,0.1258027956176804,0,1,17,1,1041.7333333333333,1041.7333333333333,1041.7333333333333,6,{'lifecycle:transition': 'complete'},deviant
2_CF,Create Request for Quotation,2011-01-01 13:46:27,2011-01-01 17:57:05,2011-01-01 18:15:10,Immanuel Karagianni,47,0.04731771817151492,0,2,17,1,1077.0833333333333,259.05,1077.0833333333333,6,{'lifecycle:transition': 'complete'},deviant
11_CF,Create Purchase Requisition,2011-01-01 20:02:23,2011-01-01 20:02:23,2011-01-01 20:10:51,Anne Olwada,51,0.1258027956176804,0,1,20,1,1202.3833333333334,1202.3833333333334,1202.3833333333334,6,{'lifecycle:transition': 'complete'},deviant
3_CF,Create Request for Quotation,2011-01-01 15:56:31,2011-01-01 20:15:12,2011-01-01 20:31:35,Francis Odell,48,0.04731771817151492,0,2,20,1,1215.2,267.1166666666667,1215.2,6,{'lifecycle:transition': 'complete'},deviant
8_CF,Create Request for Quotation,2011-01-01 16:13:22,2011-01-01 20:40:20,2011-01-01 20:58:35,Immanuel Karagianni,49,0.04731771817151492,0,2,20,1,1240.3333333333333,275.4,1240.3333333333333,6,{'lifecycle:transition': 'complete'},deviant
9_CF,Create Request for Quotation,2011-01-01 17:30:11,2011-01-01 22:05:40,2011-01-01 22:24:01,Immanuel Karagianni,50,0.04731771817151492,0,2,22,1,1325.6666666666667,283.93333333333334,1325.6666666666667,6,{'lifecycle:transition': 'complete'},deviant
3_CF,Create Request for Quotation,2011-01-01 20:31:35,2011-01-01 22:16:19,2011-01-01 22:38:17,Francois de Perrier,51,0.04731771817151492,0,3,22,1,1336.3166666666666,121.11666666666666,1336.3166666666666,6,{'lifecycle:transition': 'complete'},deviant
13_CF,Create Purchase Requisition,2011-01-01 22:37:41,2011-01-01 22:37:41,2011-01-01 22:46:11,Esmana Liubiata,52,0.1258027956176804,0,1,22,1,1357.6833333333334,1357.6833333333334,1357.6833333333334,6,{'lifecycle:transition': 'complete'},deviant
11_CF,Create Request for Quotation,2011-01-01 20:10:51,2011-01-02 00:55:11,2011-01-02 01:11:24,Francis Odell,51,0.04731771817151492,0,2,0,1,1495.1833333333334,292.8,55.18333333333333,7,{'lifecycle:transition': 'complete'},deviant
14_CF,Create Purchase Requisition,2011-01-02 02:27:39,2011-01-02 02:27:39,2011-01-02 02:36:19,Esmana Liubiata,53,0.1258027956176804,0,1,2,1,1587.65,1587.65,147.65,7,{'lifecycle:transition': 'complete'},deviant
15_CF,Create Purchase Requisition,2011-01-02 03:40:27,2011-01-02 03:40:27,2011-01-02 03:49:03,Esmana Liubiata,54,0.1258027956176804,0,1,3,1,1660.45,1660.45,220.45,7,{'lifecycle:transition': 'complete'},deviant
13_CF,Create Request for Quotation,2011-01-01 22:46:11,2011-01-02 03:39:37,2011-01-02 03:57:38,Immanuel Karagianni,52,0.04731771817151492,0,2,3,1,1659.6166666666666,301.93333333333334,219.61666666666667,7,{'lifecycle:transition': 'complete'},deviant
17_CF,Create Purchase Requisition,2011-01-02 04:25:36,2011-01-02 04:25:36,2011-01-02 04:34:13,Esmana Liubiata,55,0.1258027956176804,0,1,4,1,1705.6,1705.6,265.6,7,{'lifecycle:transition': 'complete'},deviant
11_CF,Create Request for Quotation,2011-01-02 01:11:24,2011-01-02 04:25:50,2011-01-02 04:44:45,Francois de Perrier,52,0.04731771817151492,0,3,4,1,1705.8333333333333,210.65,265.8333333333333,7,{'lifecycle:transition': 'complete'},deviant
21_CF,Create Purchase Requisition,2011-01-02 05:49:49,2011-01-02 05:49:49,2011-01-02 05:58:23,Esmana Liubiata,56,0.1258027956176804,0,1,5,1,1789.8166666666666,1789.8166666666666,349.81666666666666,7,{'lifecycle:transition': 'complete'},deviant
22_CF,Create Purchase Requisition,2011-01-02 06:27:49,2011-01-02 06:27:49,2011-01-02 06:36:22,Esmana Liubiata,57,0.1258027956176804,0,1,6,1,1827.8166666666666,1827.8166666666666,387.81666666666666,7,{'lifecycle:transition': 'complete'},deviant
25_CF,Create Purchase Requisition,2011-01-02 07:18:44,2011-01-02 07:18:44,2011-01-02 07:27:16,Esmana Liubiata,58,0.1258027956176804,0,1,7,1,1878.7333333333333,1878.7333333333333,438.73333333333335,7,{'lifecycle:transition': 'complete'},deviant
35_CF,Create Purchase Requisition,2011-01-02 08:32:03,2011-01-02 08:32:03,2011-01-02 08:40:34,Tesca Lobes,59,0.1258027956176804,0,1,8,1,1952.05,1952.05,512.05,7,{'lifecycle:transition': 'complete'},deviant
14_CF,Create Request for Quotation,2011-01-02 02:36:19,2011-01-02 09:05:34,2011-01-02 09:20:43,Immanuel Karagianni,53,0.04731771817151492,0,2,9,1,1985.5666666666666,397.9166666666667,545.5666666666667,7,{'lifecycle:transition': 'complete'},deviant
3,Analyze Purchase Requisition,2011-01-01 08:30:26,2011-01-02 09:45:30,2011-01-02 09:53:30,Heinz Gutschmidt,43,0.03333962976955043,0,2,9,1,2025.5,1555.0666666666666,585.5,7,{'lifecycle:transition': 'complete'},deviant
